Name,Profession,Approximate Current Age,Date Added to Alivewatch
Svetlana Alpers,art_historian,89,2024-01-03
"Kenneth Baker, Baron Baker of Dorking",politician,91,2024-01-03
Robert Alter,scholar,90,2024-01-03
James Petras,sociologist,88,2024-01-03
Steve Kuhn,pianist,87,2024-01-03
Cecil McBee,music,90,2024-01-03
Kevin Connor (director),film,88,2024-01-03
Philip Kotler,economist,94,2024-01-03
Tom Osborne,football,88,2024-01-03
Mary Peters (athlete),athletic,86,2024-01-03
Philip Anschutz,business,86,2024-01-03
John Harvey (author),writer,87,2024-01-03
Robert Mangold,painter,88,2024-01-03
Richard Schechner,theatre,91,2024-01-03
Charles Wright (poet),writer,90,2024-01-03
Freddy Cannon,singer,86,2024-01-03
Ketty Lester,actor,91,2024-01-03
Petula Clark,actor,93,2024-01-03
Gary U.S. Bonds,singer,86,2024-01-03
Jerry Schatzberg,screenwriter,98,2024-01-03
John Poindexter,officer,89,2024-01-03
Jeremiah P. Ostriker,astronomer,88,2024-01-03
Bernie Ecclestone,business,95,2024-01-03
James Baker,political,95,2024-01-03
Patrick Robinson (author),writer,86,2024-01-03
Gary Chapman (author),pastor,87,2024-01-03
Sonny Curtis,singer,88,2024-01-03
Ricky Tomlinson,actor,86,2024-01-03
Mike Mainieri,composer,87,2024-01-03
Terry Moore (actress),actor,96,2024-01-03
Frank Converse,actor,87,2024-01-03
Manuel Blum,computer_scientist,87,2024-01-03
John C. Wells,linguist,86,2024-01-03
Tony Harrison,poet,88,2024-01-03
James Glimm,mathematician,91,2024-01-03
Richard Zare,chemist,86,2024-01-03
Paul Winter,composer,86,2024-01-03
David Jenkins (figure skater),skater,89,2024-01-03
"Christopher Tugendhat, Baron Tugendhat",politician,88,2024-01-03
Claire Bloom,actor,94,2024-01-03
Tony Hatch,composer,86,2024-01-03
John W. Dower,author,87,2024-01-03
Mary Ann Glendon,diplomat,87,2024-01-03
Ric O'Barry,activist,86,2024-01-03
Nancy Olson,actor,97,2024-01-03
Cleve Moler,mathematician,86,2024-01-03
Ian Underwood,music,86,2024-01-03
Tom Monaghan,entrepreneur,88,2024-01-03
Alan Ford (actor),actor,87,2024-01-03
Carroll Baker,actor,94,2024-01-03
Peter Bonerz,film,87,2024-01-03
Otto F. Kernberg,psychiatrist,97,2024-01-03
Adam Greenberg (cinematographer),cinema,86,2024-01-03
Colin Thubron,writer,86,2024-01-03
Ralph Gibson,photographer,86,2024-01-03
Alfred Uhry,librettist,89,2024-01-03
Steven Rose,biologist,87,2024-01-03
Martha Layne Collins,politician,89,2024-01-03
Frederick Wiseman,film,95,2024-01-03
Dick Vitale,basket,86,2024-01-03
Henry Kamen,historian,89,2024-01-03
Edwin Frederick O'Brien,cardinal,87,2024-01-03
John M. Deutch,chemist,87,2024-01-03
William Kotzwinkle,screenwriter,87,2024-01-03
Ellen Burstyn,actor,93,2024-01-03
Nicky Cruz,evangelist,87,2024-01-03
Ellen Taaffe Zwilich,composer,86,2024-01-03
Marlo Morgan,novelist,88,2024-01-03
Leroy Hood,biologist,87,2024-01-03
Robert Hooks,actor,88,2024-01-03
Peter Breggin,psychiatrist,89,2024-01-03
Justin Francis Rigali,cardinal,90,2024-01-03
Danny Thompson,bassist,86,2024-01-03
Stephen Smale,mathematician,95,2024-01-03
Dennis DeConcini,politician,88,2024-01-03
Neil Sloane,mathematician,86,2024-01-03
Joe Pytka,film,87,2024-01-03
Jerry Colangelo,basket,86,2024-01-03
Barry De Vorzon,composer,91,2024-01-03
Simone Forti,composer,90,2024-01-03
Del Harris,basket,88,2024-01-03
Barbara Eden,actor,94,2024-01-03
Bill Mazeroski,baseball,89,2024-01-03
John McPhee,writer,94,2024-01-03
Charles Strouse,composer,97,2024-01-03
William Devane,actor,88,2024-01-03
Lois Lowry,writer,88,2024-01-03
Seymour Hersh,journalist,88,2024-01-03
Marlo Thomas,producer,88,2024-01-03
Robert Woodrow Wilson,astronomer,89,2024-01-03
Anne Reid,actor,90,2024-01-03
Margaret O'Brien,actor,88,2024-01-03
Lester R. Brown,agronomist,91,2024-01-03
Pat Buchanan,conservative,87,2024-01-03
Oscar Robertson,basket,87,2024-01-03
Robert Gallo,virologist,88,2024-01-03
Ron Carter,cellist,88,2024-01-03
Milan PaniÄ,business,96,2024-01-03
Bobby Bare,singer,90,2024-01-03
Wanda Jackson,singer,88,2024-01-03
David Burke (British actor),actor,91,2024-01-03
Stephen Breyer,lawyer,87,2024-01-03
James Lee Burke,writer,89,2024-01-03
Alan Garner,writer,91,2024-01-03
Robert Fuller (actor),actor,92,2024-01-03
Dick Cavett,actor,89,2024-01-03
Ruth Buzzi,actor,89,2024-01-03
Alan Dershowitz,lawyer,87,2024-01-03
Riane Eisler,anthropologist,94,2024-01-03
Susan Kohner,actor,89,2024-01-03
Harvey Keitel,actor,86,2024-01-03
Pat Roberts,politician,89,2024-01-03
Michael Kahn (film editor),film,90,2024-01-03
Gerhard Weinberg,historian,97,2024-01-03
Story Musgrave,astronaut,90,2024-01-03
Chris Bonington,mountaineer,91,2024-01-03
Anthony Zerbe,actor,89,2024-01-03
Ralph Bakshi,film,87,2024-01-03
Charles Duke,astronaut,90,2024-01-03
Samuel C. C. Ting,physicist,89,2024-01-03
Joyce Carol Oates,playwright,87,2024-01-03
Derek Jacobi,actor,87,2024-01-03
Michael Craig (actor),actor,97,2024-01-03
Susan Cooper,writer,90,2024-01-03
Jerry Brown,politician,87,2024-01-03
Tom Atkins (actor),actor,90,2024-01-03
Terence Stamp,actor,87,2024-01-03
Christina Pickles,actor,90,2024-01-03
Frank Langella,actor,87,2024-01-03
Steven Berkoff,actor,88,2024-01-03
Ben Nighthorse Campbell,politician,92,2024-01-03
Jamie Farr,comedian,91,2024-01-03
Connie Francis,singer,87,2024-01-03
Anthony Giddens,sociologist,87,2024-01-03
Roald Hoffmann,chemist,88,2024-01-03
E. D. Hirsch,literary,97,2024-01-03
Elliott Gould,actor,87,2024-01-03
Frederick Forsyth,writer,87,2024-01-03
Ted Turner,entrepreneur,87,2024-01-03
H. D. Deve Gowda,politician,92,2024-01-03
Peter Brown (historian),historian,90,2024-01-03
Terry Gibbs,bandleader,101,2024-01-03
Sheila Jordan,music,97,2024-01-03
Anita Desai,writer,88,2024-01-03
John Standing,actor,91,2024-01-03
Don McCullin,biographer,90,2024-01-03
Peter Arnett,journalist,91,2024-01-03
Dave Grusin,composer,91,2024-01-03
Jack McDevitt,writer,90,2024-01-03
George Hamilton (actor),film,86,2024-01-03
Jay Rockefeller,politician,88,2024-01-03
Richard Beymer,actor,87,2024-01-03
Richard Benjamin,film,87,2024-01-03
Peter Watkins,film,90,2024-01-03
James Dobson,psychologist,89,2024-01-03
J. Michael Bishop,biologist,89,2024-01-03
Peter Hirsch,physicist,100,2024-01-03
Scott Glenn,actor,86,2024-01-03
Judy Parfitt,actor,90,2024-01-03
Martha Grimes,writer,94,2024-01-03
Carol Lawrence,actor,93,2024-01-03
Ronny Cox,actor,87,2024-01-03
Tom Paxton,singer,88,2024-01-03
Joseph Nye,political_scientist,88,2024-01-03
Ali MacGraw,actor,86,2024-01-03
Neil Sedaka,singer,86,2024-01-03
Jake Garn,politician,93,2024-01-03
Rainer Weiss,physicist,93,2024-01-03
Lawrence Block,writer,87,2024-01-03
Grace Slick,singer,86,2024-01-03
Diana Muldaur,actor,87,2024-01-03
Tommy Steele,singer,89,2024-01-03
Bill Moyers,journalist,91,2024-01-03
Ted Nelson,philosopher,88,2024-01-03
Roger Norrington,conductor,91,2024-01-03
Shirley Eaton,actor,88,2024-01-03
Frederic Raphael,actor,94,2024-01-03
Jayant Narlikar,physicist,87,2024-01-03
Michael Moorcock,novelist,86,2024-01-03
Bobby Seale,activist,89,2024-01-03
Nick Clooney,journalist,91,2024-01-03
F. Murray Abraham,actor,86,2024-01-03
Gerald Scarfe,caricaturist,89,2024-01-03
Leon Panetta,politician,87,2024-01-03
Richard M. Karp,mathematician,90,2024-01-03
Loretta Swit,actor,88,2024-01-03
Lily Tomlin,actor,86,2024-01-03
"Katharine, Duchess of Kent",royal_family,92,2024-01-03
Larry Lieber,artist,94,2024-01-03
Archie Shepp,composer,88,2024-01-03
Gilbert Strang,mathematician,91,2024-01-03
Hamilton O. Smith,biologist,94,2024-01-03
Eugene Braunwald,cardiologist,96,2024-01-03
Connie Stevens,film,87,2024-01-03
"Princess Alexandra, The Honourable Lady Ogilvy",queen,89,2024-01-03
Edward Ruscha,painter,88,2024-01-03
Carol Gilligan,psychologist,89,2024-01-03
Derek Bok,education,95,2024-01-03
Larry Niven,writer,87,2024-01-03
Bruce Glover,actor,93,2024-01-03
Jackie Stewart,racing,86,2024-01-03
Stanley G. Payne,historian,91,2024-01-03
Michael Parenti,political_scientist,92,2024-01-03
Garrett Morris,actor,88,2024-01-03
Meredith Belbin,scientist,99,2024-01-03
David Baltimore,virologist,87,2024-01-03
Harris Yulin,actor,88,2024-01-03
Judea Pearl,computer_scientist,89,2024-01-03
Thomas Nagel,philosopher,88,2024-01-03
Ray Cooney,playwright,93,2024-01-03
Lee Friedlander,photographer,91,2024-01-03
Constance Towers,singer,92,2024-01-03
Jean Marsh,screenwriter,91,2024-01-03
Nicholas Pileggi,writer,92,2024-01-03
Buddy Guy,guitar,89,2024-01-03
Engelbert Humperdinck (singer),singer,89,2024-01-03
Helen Merrill,singer,95,2024-01-03
Charles Koch,business,90,2024-01-03
David Lee (physicist),physicist,94,2024-01-03
Richard Estes,painter,93,2024-01-03
Penelope Lively,writer,92,2024-01-03
La Monte Young,composer,90,2024-01-03
James B. Harris,film,97,2024-01-03
Caroline Graham,screenwriter,94,2024-01-03
HÃ©ctor Elizondo,actor,89,2024-01-03
Lee Meriwether,actor,90,2024-01-03
Donald Knuth,mathematician,87,2024-01-03
Warren Beatty,actor,88,2024-01-03
John G. Thompson,mathematician,93,2024-01-03
Harrison Schmitt,geologist,90,2024-01-03
Matthew Meselson,biologist,95,2024-01-03
Donald P. Bellisario,screenwriter,90,2024-01-03
Richard Bach,writer,89,2024-01-03
Lou Adler,producer,92,2024-01-03
George Ariyoshi,politician,99,2024-01-03
Brian Blessed,actor,89,2024-01-03
Philip Glass,composer,88,2024-01-03
Ann Robinson,actor,96,2024-01-03
Duane Michals,photographer,93,2024-01-03
Katherine Jackson,biographer,95,2024-01-03
Bill Wyman,music,89,2024-01-03
William F. Sharpe,economist,91,2024-01-03
Terry Riley,composer,90,2024-01-03
Michael Forest,actor,96,2024-01-03
Samuel Adler (composer),conductor,97,2024-01-03
C. N. R. Rao,chemist,91,2024-01-03
David Harvey,anthropologist,90,2024-01-03
Dudley R. Herschbach,chemist,93,2024-01-03
Judd Hirsch,actor,90,2024-01-03
Sandy Koufax,baseball,90,2024-01-03
Alan Alda,actor,89,2024-01-03
Johnny Mathis,music,90,2024-01-03
Ken Loach,film,89,2024-01-03
Laurence Rosenthal,composer,99,2024-01-03
Sheila Hancock,actor,92,2024-01-03
Piers Anthony,novelist,91,2024-01-03
Bruce Dern,actor,89,2024-01-03
Steve Reich,composer,89,2024-01-03
Julian Glover,actor,90,2024-01-03
Janet Baker,singer,92,2024-01-03
Annie Proulx,writer,90,2024-01-03
Barbara Feldon,actress,92,2024-01-03
Jane Morgan,actor,101,2024-01-03
Robert Silverberg,screenwriter,90,2024-01-03
Douglas Wilder,politician,94,2024-01-03
Don DeLillo,writer,89,2024-01-03
Anthony Kenny,philosopher,94,2024-01-03
Dana Scott,mathematician,93,2024-01-03
Leonard Kleinrock,mathematician,91,2024-01-03
Marilyn Horne,singer,91,2024-01-03
Dolores Huerta,trade_union,95,2024-01-03
Felicia Farr,actor,93,2024-01-03
George Takei,comedian,88,2024-01-03
Thomas Pynchon,writer,88,2024-01-03
Joyce Van Patten,actor,91,2024-01-03
Tom Courtenay,actor,88,2024-01-03
Gary Hart,politician,89,2024-01-03
Billy Dee Williams,actor,88,2024-01-03
Edward O. Thorp,mathematician,93,2024-01-03
Anthony Kennedy,lawyer,89,2024-01-03
Don Preston,music,93,2024-01-03
Jean M. Auel,writer,89,2024-01-03
Richard Wilson (Scottish actor),theatre,89,2024-01-03
Fred Haise,astronaut,92,2024-01-03
Dyan Cannon,film,88,2024-01-03
Jon Voight,actor,87,2024-01-03
John L. Hall,physicist,91,2024-01-03
Don Bluth,film,88,2024-01-03
Leonard Peikoff,philosopher,92,2024-01-03
Philip Kaufman,actor,89,2024-01-03
Bernie Kopell,screenwriter,92,2024-01-03
Jim Dine,painter,90,2024-01-03
Yuan T. Lee,chemist,89,2024-01-03
Caldwell Esselstyn,rower,92,2024-01-03
Elizabeth Dole,politician,89,2024-01-03
Richard Swinburne,philosopher,91,2024-01-03
Joe Don Baker,actor,89,2024-01-03
Don Norman,computer_scientist,90,2024-01-03
Christopher Lloyd,actor,87,2024-01-03
Bat Ye'or,essayist,92,2024-01-03
David Amram,singer,95,2024-01-03
David Irving,essayist,87,2024-01-03
Edward Fox (actor),actor,88,2024-01-03
Abbe Lane,actor,93,2024-01-03
Richard A. Falk,professor,95,2024-01-03
Sander Levin,politician,94,2024-01-03
Harvey Cox,theologian,96,2024-01-03
Jagdish Bhagwati,economist,91,2024-01-03
Michael Walzer,philosopher,90,2024-01-03
Joe Arpaio,sheriff,93,2024-01-03
Bobby Vinton,singer,90,2024-01-03
David Hockney,painter,88,2024-01-03
Ervin LÃ¡szlÃ³,philosopher,93,2024-01-03
James Meredith,civil_rights,92,2024-01-03
Wendell Berry,poet,91,2024-01-03
Nicholas F. Brady,politician,95,2024-01-03
"Prince Edward, Duke of Kent",royal_family,90,2024-01-03
Pratibha Patil,politician,91,2024-01-03
Tom Stoppard,playwright,88,2024-01-03
Herman Chernoff,mathematician,102,2024-01-03
Edwin Meese,lawyer,94,2024-01-03
Alan Simpson (American politician),politician,94,2024-01-03
Jared Diamond,biologist,88,2024-01-03
Vladimir Posner,journalist,91,2024-01-03
Robert Paxton,historian,93,2024-01-03
Bob Pettit,basket,93,2024-01-03
Shirley Bassey,singer,88,2024-01-03
Mark Rydell,actor,91,2024-01-03
Walter Koenig,actor,89,2024-01-03
Barbara Mikulski,politician,89,2024-01-03
Michael H. Hart,physicist,93,2024-01-03
Keir Dullea,actor,89,2024-01-03
Sylvia Earle,biologist,90,2024-01-03
Thea Musgrave,composer,97,2024-01-03
Norman Tebbit,politician,94,2024-01-03
Robert Colbert,actor,94,2024-01-03
Jacques VallÃ©e,astronomer,86,2024-01-03
Morton Subotnick,composer,92,2024-01-03
Sam Nunn,politician,87,2024-01-03
Edward Feigenbaum,computer_scientist,89,2024-01-03
John Scott (composer),bandleader,95,2024-01-03
Annette Crosbie,actor,91,2024-01-03
John Norman,writer,94,2024-01-03
Audrey Dalton,actor,91,2024-01-03
Bonnie Bartlett,actor,96,2024-01-03
Eddie Palmieri,bandleader,89,2024-01-03
Dick Van Dyke,singer,100,2024-01-03
Bob Packwood,politician,93,2024-01-03
Adam Maida,cardinal,95,2024-01-03
Caryl Churchill,screenwriter,87,2024-01-03
Gay Talese,writer,93,2024-01-03
Alan Oppenheimer,actor,95,2024-01-03
James Stafford,priest,93,2024-01-03
Elliott H. Lieb,mathematician,93,2024-01-03
Monty Roberts,horse_trainer,90,2024-01-03
Katherine Paterson,writer,93,2024-01-03
John O'Keefe (neuroscientist),neurologist,86,2024-01-03
Harold Becker,film,97,2024-01-03
Eleanor Holmes Norton,politician,88,2024-01-03
Albert Hall (actor),actor,88,2024-01-03
David Horowitz,conservative,86,2024-01-03
Billy Mills,track_and_field,87,2024-01-03
Tom Harkin,politician,86,2024-01-03
Elinor Donahue,actor,88,2024-01-03
SiÃ¢n Phillips,actor,92,2024-01-03
Peter Cook (architect),lecturer,89,2024-01-03
Carver Mead,computer_scientist,91,2024-01-03
A. J. Foyt,driver,90,2024-01-03
Stanley Fish,philosopher,87,2024-01-03
Denise Scott Brown,architect,94,2024-01-03
Louis Begley,novelist,92,2024-01-03
Billy Williams (cinematographer),cinema,96,2024-01-03
Mario Capecchi,biologist,88,2024-01-03
Eleanor Bron,actor,87,2024-01-03
Bruce Davidson (photographer),published,92,2024-01-03
Dion DiMucci,music,86,2024-01-03
Lee Trevino,golf,86,2024-01-03
Raj Reddy,computer_scientist,88,2024-01-03
Michael Learned,actor,86,2024-01-03
Pete Wilson,politician,92,2024-01-03
Jerry Adler,actor,96,2024-01-03
Carol Kaye,guitar,90,2024-01-03
Roy Romer,politician,97,2024-01-03
Thomas R. Pickering,diplomat,94,2024-01-03
Margaret Drabble,novelist,86,2024-01-03
Harold E. Varmus,virologist,86,2024-01-03
James Burton,guitar,86,2024-01-03
Barry Mazur,mathematician,88,2024-01-03
Barbara Liskov,computer_scientist,86,2024-01-03
Ray Hyman,psychologist,97,2024-01-03
Irma P. Hall,actor,90,2024-01-03
Maxine Waters,politician,87,2024-01-03
Charles Lloyd (jazz musician),composer,87,2024-01-03
Dean Tavoularis,scenographer,93,2024-01-03
Burton Malkiel,economist,93,2024-01-03
Gary Graffman,pianist,97,2024-01-03
Barry Mann,singer,86,2024-01-03
Willie Brown (politician),politician,91,2024-01-03
Andrew Davies (writer),screenwriter,89,2024-01-03
Roy Thinnes,actor,87,2024-01-03
Stephen Cook,computer_scientist,86,2024-01-03
T. Colin Campbell,biochemist,91,2024-01-03
Robert Caro,author,90,2024-01-03
Leland H. Hartwell,geneticist,86,2024-01-03
David Allan Coe,singer,86,2024-01-03
Peter Duesberg,virologist,89,2024-01-03
Debra Paget,actor,92,2024-01-03
Agnes Denes,artist,94,2024-01-03
Harry B. Gray,chemist,90,2024-01-03
Kenny Burrell,guitar,94,2024-01-03
Ralph Nader,political,91,2024-01-03
Thomas Kailath,computer_scientist,90,2024-01-03
Jack Hill,film,92,2024-01-03
George J. Mitchell,politician,92,2024-01-03
Nicholas Wolterstorff,philosopher,93,2024-01-03
Pat Boone,singer,91,2024-01-03
Richard Garwin,physicist,97,2024-01-03
Michael Aspel,television,92,2024-01-03
G. Edward Griffin,author,94,2024-01-03
George Schaller,biologist,92,2024-01-03
Shirley Collins,singer,90,2024-01-03
Magdi Yacoub,surgeon,90,2024-01-03
Charles Cioffi,actor,90,2024-01-03
Nancy Kassebaum,politician,93,2024-01-03
Harvey Mansfield,political_scientist,93,2024-01-03
Al D'Amato,politician,88,2024-01-03
Don Black (lyricist),songwriter,87,2024-01-03
Emma Andijewska,poet,94,2024-01-03
Sonny Jurgensen,football,91,2024-01-03
Patrick Wayne,actor,86,2024-01-03
Roger Mahony,cardinal,89,2024-01-03
Bob James (musician),keyboardist,86,2024-01-03
David Steel,politician,87,2024-01-03
Peter S. Beagle,writer,86,2024-01-03
Tom Baker,actor,91,2024-01-03
Barry Barish,physicist,89,2024-01-03
David Souter,lawyer,86,2024-01-03
Sandra Harding,philosopher,90,2024-01-03
Stewart Brand,essayist,87,2024-01-03
Elliot Aronson,psychologist,93,2024-01-03
Louise Lasser,actor,86,2024-01-03
Carla Anderson Hills,politician,91,2024-01-03
Jan Harold Brunvand,anthropologist,92,2024-01-03
Carl Yastrzemski,baseball,86,2024-01-03
Wilbur Ross,financier,88,2024-01-03
Mavis Staples,singer,86,2024-01-03
Pat Priest (actress),actor,89,2024-01-03
Allen Jones (artist),painter,88,2024-01-03
Cliff Hagan,basket,94,2024-01-03
Gerald R. Molen,actor,90,2024-01-03
Henry B. Eyring,education,92,2024-01-03
Robert Crippen,astronaut,88,2024-01-03
Michael Heseltine,conservative,92,2024-01-03
Joel-Peter Witkin,photographer,86,2024-01-03
Ishmael Reed,poet,87,2024-01-03
Leslie Parrish,actor,90,2024-01-03
George E. Smith,physicist,95,2024-01-03
Hubie Brown,basket,92,2024-01-03
Reri Grist,music,93,2024-01-03
Roald Sagdeev,physicist,93,2024-01-03
John Gurdon,biologist,92,2024-01-03
Georgina Spelvin,actor,89,2024-01-03
Brenda Vaccaro,actor,86,2024-01-03
Barbara Steele,actor,88,2024-01-03
Mary Costa,actor,95,2024-01-03
Judy Collins,singer,86,2024-01-03
Alan J. Heeger,physicist,89,2024-01-03
Eugene Fama,economist,86,2024-01-03
John Glen (director),film,93,2024-01-03
Samantha Eggar,actor,86,2024-01-03
Roberta Flack,music,86,2024-01-03
Gary Lockwood,actor,88,2024-01-03
Barbara Babcock,actor,88,2024-01-03
Sonia Sanchez,playwright,91,2024-01-03
Perry Anderson,historian,87,2024-01-03
Clive Davis,producer,93,2024-01-03
Tony Hoare,computer_scientist,91,2024-01-03
Tenley Albright,skater,90,2024-01-03
"Norman Foster, Baron Foster of Thames Bank",architect,90,2024-01-03
Edmund Phelps,economist,92,2024-01-03
Dolores Hart,actor,87,2024-01-03
Bob Kahn,engineer,87,2024-01-03
Alan Baddeley,psychologist,91,2024-01-03
Russ Tamblyn,actor,91,2024-01-03
Daniel McFadden,economist,88,2024-01-03
Lorraine Gary,actor,88,2024-01-03
Waheeda Rehman,actor,87,2024-01-03
Ivan Sutherland,inventor,87,2024-01-03
Gwyneth Jones (soprano),singer,89,2024-01-03
Ann Bannon,author,93,2024-01-03
Judy Chicago,painter,86,2024-01-03
Norman Podhoretz,conservative,95,2024-01-03
RenÃ©e Taylor,playwright,92,2024-01-03
Walter Gilbert,physicist,93,2024-01-03
Lee Majors,actor,86,2024-01-03
Tina Louise,singer,91,2024-01-03
Frank Murkowski,politician,92,2024-01-03
Dennis Skinner,politician,93,2024-01-03
Barry McGuire,singer,90,2024-01-03
David Mumford,mathematician,88,2024-01-03
Kenneth Frampton,historian,95,2024-01-03
Herb Alpert,actor,90,2024-01-03
James Fox,actor,86,2024-01-03
Carl Icahn,stockbroker,89,2024-01-03
Phyllida Law,actor,93,2024-01-03
Dan Inosanto,martial_art,89,2024-01-03
Diane Baker,actor,87,2024-01-03
David Bailey,photographer,87,2024-01-03
George Carey,bishop,90,2024-01-03
Paul Ekman,psychologist,91,2024-01-03
Fred Williamson,actor,87,2024-01-03
Jack Betts,actor,96,2024-01-03
Jim Dale,actor,90,2024-01-03
Wendy Carlos,composer,86,2024-01-03
Michael Frayn,playwright,92,2024-01-03
Ralph Lauren,designer,86,2024-01-03
Carmen Dell'Orefice,actor,94,2024-01-03
Mara Corday,actor,95,2024-01-03
Mary Berry,biographer,90,2024-01-03
Susan Hampshire,actor,88,2024-01-03
Lenny Wilkens,basket,88,2024-01-03
Jane Alexander,actor,86,2024-01-03
Phil Knight,business,87,2024-01-03
Anthony James Leggett,physicist,87,2024-01-03
Brett Halsey,actor,92,2024-01-03
Monte Markham,actor,90,2024-01-03
David Shire,composer,88,2024-01-03
Thomas Kean,politician,90,2024-01-03
Ramblin' Jack Elliott,singer,94,2024-01-03
Mike Farrell,actor,86,2024-01-03
Nancy Kovack,actor,90,2024-01-03
Ian Hunter (singer),singer,86,2024-01-03
Steny Hoyer,politician,86,2024-01-03
Nancy Kwan,actor,86,2024-01-03
George Ryan,politician,91,2024-01-03
Prunella Scales,actor,93,2024-01-03
William Eggleston,photographer,86,2024-01-03
Hal Linden,music,94,2024-01-03
Alan Bennett,actor,91,2024-01-03
Roland Huntford,author,98,2024-01-03
Frankie Valli,singer,91,2024-01-03
Mark di Suvero,sculptor,92,2024-01-03
Lee H. Hamilton,politician,94,2024-01-03
John Corigliano,composer,87,2024-01-03
Eileen Atkins,actor,91,2024-01-03
Jerome Isaac Friedman,physicist,95,2024-01-03
John Badham,film,86,2024-01-03
Ralph Steadman,caricaturist,89,2024-01-03
Robert Rubin,politician,87,2024-01-03
Richard Posner,judge,86,2024-01-03
Herbert J. Gans,sociologist,98,2024-01-03
Michael Murphy (actor),actor,87,2024-01-03
Alan Ayckbourn,playwright,86,2024-01-03
Jeremy Bernstein,physicist,96,2024-01-03
John Rechy,writer,94,2024-01-03
Ron Paul,politician,90,2024-01-03
Norman Davies,historian,86,2024-01-03
Peter Burke (historian),academic,88,2024-01-03
Michael Artin,mathematician,91,2024-01-03
Jimmy Swaggart,singer,90,2024-01-03
George Chakiris,actor,91,2024-01-03
Polly Holliday,actor,88,2024-01-03
Kenneth H. Cooper,doctor,94,2024-01-03
Millie Perkins,actor,87,2024-01-03
Judy Blume,writer,87,2024-01-03
John Sculley,business,86,2024-01-03
George Hearn,actor,91,2024-01-03
Roy Hattersley,author,93,2024-01-03
Ron Rifkin,film,86,2024-01-03
Richard Meier,architect,91,2024-01-03
Paula Prentiss,actor,87,2024-01-03
Irwin M. Jacobs,academic,92,2024-01-03
David Owen,politician,87,2024-01-03
Guido Calabresi,scholar,93,2024-01-03
James Galway,music,86,2024-01-03
Russell M. Nelson,physician,101,2024-01-03
Yvonne Rainer,film,91,2024-01-03
Robert Littell (author),novelist,90,2024-01-03
Anne Osborn Krueger,economist,91,2024-01-03
Rusty Schweickart,aeronautical,90,2024-01-03
Sherrill Milnes,singer,90,2024-01-03
Don Bachardy,painter,91,2024-01-03
Marge Piercy,writer,89,2024-01-03
Elizabeth Ashley,biographer,86,2024-01-03
Eva Marie Saint,actor,101,2024-01-03
